VirtualBox XPCOM Server 5.2.16 r123745 linux.amd64 (Jul 31 2018 19:13:35) release log
00:00:00.002778 main     Log opened 2018-08-07T09:52:25.480074000Z
00:00:00.002779 main     Build Type: release
00:00:00.002781 main     OS Product: Linux
00:00:00.002781 main     OS Release: 4.17.12-arch1-1-ARCH
00:00:00.002782 main     OS Version: #1 SMP PREEMPT Fri Aug 3 07:16:41 UTC 2018
00:00:00.002802 main     DMI Product Name: MS-7A39
00:00:00.002811 main     DMI Product Version: 1.0
00:00:00.002841 main     Host RAM: 6983MB (6.8GB) total, 4071MB (3.9GB) available
00:00:00.002843 main     Executable: /usr/lib/virtualbox/VBoxSVC
00:00:00.002844 main     Process ID: 4507
00:00:00.002844 main     Package type: LINUX_64BITS_GENERIC (OSE)
00:00:00.004369 main     IPC socket path: /tmp/.vbox-naichuk-ipc/ipcd
00:00:00.113964 nspr-2   VirtualBox: object creation starts
00:00:00.115324 nspr-2   Home directory: '/home/naichuk/.config/VirtualBox'
00:00:00.115857 nspr-2   Loading settings file "/home/naichuk/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:00:00.122175 nspr-2   NAT: resolv.conf: nameserver 10.30.8.1
00:00:00.122186 nspr-2   HostDnsMonitor: old information
00:00:00.122188 nspr-2     no server entries
00:00:00.122189 nspr-2     no domain set
00:00:00.122191 nspr-2     no search string entries
00:00:00.122193 nspr-2   HostDnsMonitor: new information
00:00:00.122194 nspr-2     server 1: 10.30.8.1
00:00:00.122196 nspr-2     no domain set
00:00:00.122198 nspr-2     no search string entries
00:00:00.122200 nspr-2   HostDnsMonitorProxy::notify
00:00:00.141385 nspr-2   VD: VDInit finished with VINF_SUCCESS
00:00:00.142032 nspr-2   ERROR [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={0eb668d2-495e-5a36-8890-29999b5f030c} aComponent={SystemPropertiesWrap} aText={Cannot determine default Guest Additions ISO location. Most likely they are not available}, preserve=false aResultDetail=0
00:00:00.149811 nspr-2   Loading settings file "/home/naichuk/.minikube/machines/minikube/minikube/minikube.vbox" with version "1.15-linux"
00:00:00.150480 nspr-2   VirtualBox: object created
00:00:00.166809 nspr-2   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={85cd948e-a71f-4289-281e-0ca7ad48cd89} aComponent={SessionMachine} aText={No storage device attached to device slot 0 on port 2 of controller 'SATA'}, preserve=false aResultDetail=0
00:00:00.166948 nspr-3   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={85cd948e-a71f-4289-281e-0ca7ad48cd89} aComponent={SessionMachine} aText={No storage device attached to device slot 0 on port 2 of controller 'SATA'}, preserve=false aResultDetail=0
00:00:00.167048 nspr-3   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={85cd948e-a71f-4289-281e-0ca7ad48cd89} aComponent={SessionMachine} aText={No storage device attached to device slot 0 on port 3 of controller 'SATA'}, preserve=false aResultDetail=0
00:00:00.167138 nspr-3   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={85cd948e-a71f-4289-281e-0ca7ad48cd89} aComponent={SessionMachine} aText={No storage device attached to device slot 0 on port 3 of controller 'SATA'}, preserve=false aResultDetail=0
